timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596214577469,44,GET,200,OK,Thread Group 1-1,text,true,,1183,136,1,1,https://jsonplaceholder.typicode.com/posts/1,44,0,27
1596214577514,212,POST,201,Created,Thread Group 1-1,text,true,,963,246,1,1,http://jsonplaceholder.typicode.com/posts,212,0,10
1596214577726,205,Put,200,OK,Thread Group 1-1,text,true,,834,252,1,1,http://jsonplaceholder.typicode.com/posts/1,205,0,0
1596214577931,206,DELETE,200,OK,Thread Group 1-1,text,true,,769,225,1,1,http://jsonplaceholder.typicode.com/posts/%201,206,0,0
1596214578138,46,GET,200,OK,Thread Group 1-1,text,true,,1183,136,1,1,https://jsonplaceholder.typicode.com/posts/1,46,0,31
1596214578184,260,POST,201,Created,Thread Group 1-1,text,true,,963,246,1,1,http://jsonplaceholder.typicode.com/posts,260,0,10
1596214578472,40,GET,200,OK,Thread Group 1-2,text,true,,1183,136,2,2,https://jsonplaceholder.typicode.com/posts/1,40,0,26
1596214578444,138,Put,200,OK,Thread Group 1-1,text,true,,834,252,2,2,http://jsonplaceholder.typicode.com/posts/1,138,0,0
1596214578513,147,POST,201,Created,Thread Group 1-2,text,true,,963,246,2,2,http://jsonplaceholder.typicode.com/posts,147,0,11
1596214578582,147,DELETE,200,OK,Thread Group 1-1,text,true,,769,225,2,2,http://jsonplaceholder.typicode.com/posts/%201,147,0,0
1596214578729,45,GET,200,OK,Thread Group 1-1,text,true,,1183,136,2,2,https://jsonplaceholder.typicode.com/posts/1,45,0,26
1596214578660,138,Put,200,OK,Thread Group 1-2,text,true,,834,252,2,2,http://jsonplaceholder.typicode.com/posts/1,138,0,0
1596214578798,156,DELETE,200,OK,Thread Group 1-2,text,true,,769,225,2,2,http://jsonplaceholder.typicode.com/posts/%201,156,0,0
1596214578775,179,POST,201,Created,Thread Group 1-1,text,true,,963,246,2,2,http://jsonplaceholder.typicode.com/posts,179,0,9
1596214578955,45,GET,200,OK,Thread Group 1-2,text,true,,1183,136,2,2,https://jsonplaceholder.typicode.com/posts/1,45,0,26
1596214578954,141,Put,200,OK,Thread Group 1-1,text,true,,834,252,2,2,http://jsonplaceholder.typicode.com/posts/1,141,0,0
1596214579000,151,POST,201,Created,Thread Group 1-2,text,true,,963,246,2,2,http://jsonplaceholder.typicode.com/posts,151,0,10
1596214579095,138,DELETE,200,OK,Thread Group 1-1,text,true,,769,225,2,2,http://jsonplaceholder.typicode.com/posts/%201,138,0,0
1596214579151,138,Put,200,OK,Thread Group 1-2,text,true,,834,252,2,2,http://jsonplaceholder.typicode.com/posts/1,138,0,0
1596214579234,57,GET,200,OK,Thread Group 1-1,text,true,,1183,136,2,2,https://jsonplaceholder.typicode.com/posts/1,57,0,25
1596214579289,184,DELETE,200,OK,Thread Group 1-2,text,true,,769,225,3,3,http://jsonplaceholder.typicode.com/posts/%201,184,0,0
1596214579291,182,POST,201,Created,Thread Group 1-1,text,true,,963,246,3,3,http://jsonplaceholder.typicode.com/posts,182,0,10
1596214579471,43,GET,200,OK,Thread Group 1-3,text,true,,1183,136,3,3,https://jsonplaceholder.typicode.com/posts/1,43,0,28
1596214579474,40,GET,200,OK,Thread Group 1-2,text,true,,1183,136,3,3,https://jsonplaceholder.typicode.com/posts/1,40,0,26
1596214579474,155,Put,200,OK,Thread Group 1-1,text,true,,834,252,3,3,http://jsonplaceholder.typicode.com/posts/1,155,0,0
1596214579515,149,POST,201,Created,Thread Group 1-3,text,true,,963,246,3,3,http://jsonplaceholder.typicode.com/posts,149,0,9
1596214579629,143,DELETE,200,OK,Thread Group 1-1,text,true,,769,225,3,3,http://jsonplaceholder.typicode.com/posts/%201,143,0,0
1596214579514,276,POST,201,Created,Thread Group 1-2,text,true,,963,246,3,3,http://jsonplaceholder.typicode.com/posts,276,0,10
1596214579664,137,Put,200,OK,Thread Group 1-3,text,true,,834,252,3,3,http://jsonplaceholder.typicode.com/posts/1,137,0,0
1596214579772,46,GET,200,OK,Thread Group 1-1,text,true,,1183,136,3,3,https://jsonplaceholder.typicode.com/posts/1,46,0,27
1596214579818,161,POST,201,Created,Thread Group 1-1,text,true,,963,246,3,3,http://jsonplaceholder.typicode.com/posts,161,0,9
1596214579801,178,DELETE,200,OK,Thread Group 1-3,text,true,,769,225,3,3,http://jsonplaceholder.typicode.com/posts/%201,178,0,0
1596214579790,189,Put,200,OK,Thread Group 1-2,text,true,,834,252,3,3,http://jsonplaceholder.typicode.com/posts/1,189,0,0
1596214579979,40,GET,200,OK,Thread Group 1-3,text,true,,1183,136,3,3,https://jsonplaceholder.typicode.com/posts/1,40,0,26
1596214579979,136,Put,200,OK,Thread Group 1-1,text,true,,834,252,3,3,http://jsonplaceholder.typicode.com/posts/1,136,0,0
1596214580115,171,DELETE,200,OK,Thread Group 1-1,text,true,,769,225,3,3,http://jsonplaceholder.typicode.com/posts/%201,171,0,0
1596214579979,307,DELETE,200,OK,Thread Group 1-2,text,true,,769,225,3,3,http://jsonplaceholder.typicode.com/posts/%201,307,0,0
1596214580020,289,POST,201,Created,Thread Group 1-3,text,true,,963,246,3,3,http://jsonplaceholder.typicode.com/posts,289,0,9
1596214580287,41,GET,200,OK,Thread Group 1-1,text,true,,1183,136,3,3,https://jsonplaceholder.typicode.com/posts/1,41,0,27
1596214580287,41,GET,200,OK,Thread Group 1-2,text,true,,1183,136,3,3,https://jsonplaceholder.typicode.com/posts/1,41,0,27
1596214580309,166,Put,200,OK,Thread Group 1-3,text,true,,834,252,4,4,http://jsonplaceholder.typicode.com/posts/1,166,0,0
1596214580328,147,POST,201,Created,Thread Group 1-2,text,true,,963,246,4,4,http://jsonplaceholder.typicode.com/posts,147,0,10
1596214580328,150,POST,201,Created,Thread Group 1-1,text,true,,963,246,4,4,http://jsonplaceholder.typicode.com/posts,149,0,10
1596214580472,43,GET,200,OK,Thread Group 1-4,text,true,,1183,136,4,4,https://jsonplaceholder.typicode.com/posts/1,43,0,28
1596214580475,149,Put,200,OK,Thread Group 1-2,text,true,,834,252,4,4,http://jsonplaceholder.typicode.com/posts/1,149,0,0
1596214580475,149,DELETE,200,OK,Thread Group 1-3,text,true,,769,225,4,4,http://jsonplaceholder.typicode.com/posts/%201,149,0,0
1596214580478,154,Put,200,OK,Thread Group 1-1,text,true,,834,252,4,4,http://jsonplaceholder.typicode.com/posts/1,154,0,0
